"共有model数","item_name 中文","model_name 中文","目标价","model_image_susercontent","product_link","L2 中文","L3 中文","邀请码","model_id","final_1688_link","price judge","展示日期","item_id","item下最高价","特殊tag","日均销售额","日均单量","asp_tag_by_l1"
"4","YAZAKI THW 1x35 IEC01 电线,35 号线规,Yazaki 主线,黑色,铜,THW 35,分线。","10米","240.25","https://cf.shopee.co.th/file/th-11134207-81zte-mjzgoa5qrvuvbd","http://shopee.co.th/product/1651405852/51305402652","摩托车零配件","电缆和管材","IVCN2026051917319","'335492600791","缺少","P1","'12-30","'51305402652","1273.02","","40-60美金","20-40单","高价品"
"4","YAZAKI THW 1x35 IEC01 电线,35 号线规,Yazaki 主线,黑色,铜,THW 35,分线。","30米","735.4","https://cf.shopee.co.th/file/th-11134207-81zte-mjzgoa5qrvuvbd","http://shopee.co.th/product/1651405852/51305402652","摩托车零配件","电缆和管材","IVCN2026051917319","'335492600793","缺少","P1","'12-30","'51305402652","1273.02","","100-300美金","20-40单","高价品"
"4","YAZAKI THW 1x35 IEC01 电线,35 号线规,Yazaki 主线,黑色,铜,THW 35,分线。","40米","978.67","https://cf.shopee.co.th/file/th-11134207-81zte-mjzgoa5qrvuvbd","http://shopee.co.th/product/1651405852/51305402652","摩托车零配件","电缆和管材","IVCN2026051917319","'335492600794","缺少","P1","'12-30","'51305402652","1273.02","","100-300美金","20-40单","高价品"
"4","YAZAKI THW 1x35 IEC01 电线,35 号线规,Yazaki 主线,黑色,铜,THW 35,分线。","50米","1273.02","https://cf.shopee.co.th/file/th-11134207-81zte-mjzgoa5qrvuvbd","http://shopee.co.th/product/1651405852/51305402652","摩托车零配件","电缆和管材","IVCN2026051917319","'335492600795","缺少","P1","'12-30","'51305402652","1273.02","","300-500美金","20-40单","高价品"
"1","雅马哈 XMAX V2/V3 2023 和 V1 舒适座椅 西班牙原装","XMAX V2/V3（无套装）","1251.92","https://cf.shopee.com.my/file/my-11134207-7rasc-m2c280zkwbofbf","http://shopee.com.my/product/299433948/12146515763","摩托车配件","座椅及座椅套","IVCN2026051910263","'99039681333","缺少","P1","'12-30","'12146515763","1251.92","","300-500美金","20-40单","高价品"
"2","Brembo Italy RCS 长杆主缸 + 储液罐,100% 原装正品。尺寸：15-17-19。","右侧15号,可分期付款。","1225.59","https://cf.shopee.co.th/file/d20c3d5707bce955465eda3d3a7925ef","http://shopee.co.th/product/52513201/1842124301","摩托车零配件","制动系统","IVCN2026041039765","'53577335114","缺少","P1","'12-30","'1842124301","1225.59","","100-300美金","20-40单","高价品"
"1","RXZ 1.60X18 EXCEL ASIA GREEN 有限合金轮圈 RXZ MILI CATALYZER GREEN TAKASGO EXCEL ASIA GREEN RXZ 轮圈合金","紫色轮辋（限量版）,LIDI 镀铬","1181.82","https://cf.shopee.com.my/file/my-11134207-7r98y-lsfa34mz6w3b23","http://shopee.com.my/product/342405202/25116485117","摩托车零配件","车轮、轮辋及配件","IVCN2026051914295","'240404146864","缺少","P1","'12-30","'25116485117","1181.82","","100-300美金","20-40单","高价品"
"1","Brembo Italy 15 RCS 制动主缸 / 右侧（意大利制造）🇮🇹","白色长罐","1134.64","https://cf.shopee.co.th/file/4b16f04c1131510b454d489ed84b79df","http://shopee.co.th/product/163265516/16465673475","摩托车零配件","制动系统","IVCN2026051913141","'213729087966","缺少","P1","'12-30","'16465673475","1134.64","","100-300美金","20-40单","高价品"
"1","磷酸铁锂电池 12V 24V 48V 100AH 200AH 电池管理系统 汽车可充电深循环电池 汽车太阳能储能","24V,200Ah","1010.87","https://cf.shopee.ph/file/ph-11134201-7r98q-lv1ovzeaummqd5","http://shopee.ph/product/1399269828/28067776355","摩托车零配件","其他的","IVCN2026051913735","'227028478424","缺少","P1","'12-30","'28067776355","1010.87","","300-500美金","20-40单","高价品"
"1","正品 Kou Mahachai Giorno 排气系统,经改装以优化性能,并通过泰国工业标准 (TIS) 认证。钛合金头段。适用于原厂发动机/60mm/62-63mm 活塞（侧开式排气）。100% 正品 Kou。","原球,开口侧,隐藏式。","926.64","https://cf.shopee.co.th/file/th-11134207-7rasg-m9zbpqfailf5bc","http://shopee.co.th/product/168521652/28536751008","摩托车零配件","尾气和排放","IVCN2026051916807","'305122185628","缺少","P1","'12-30","'28536751008","926.64","","100-300美金","20-40单","高价品"
